date,gap,priv_fund_ratio,factor_rank,position,strategy_ret,strategy_net,equity
2023-06-05,0.0059185989946489,-1.876422907722254e-09,0.4166666666666667,0.0,0.0,0.0,0.9733692690831716
2023-06-06,0.002363111227807925,-1.9394636767414387e-09,0.4,0.0,0.0,0.0,0.9733692690831716
2023-06-07,0.0021974914665426268,1.0289572521488423e-08,0.7,0.0,0.0,0.0,0.9733692690831716
2023-06-08,-0.002808558031426811,-3.61025404806761e-08,0.016666666666666666,0.0,-0.0,-0.0,0.9733692690831716
2023-06-09,0.005347701660495731,2.8487537052813826e-08,0.9,1.0,0.005347701660495731,0.003847701660495731,0.9771145036360983
2023-06-12,0.0033129520840826294,-1.6314345961186112e-08,0.08333333333333333,0.0,0.0,0.0,0.9771145036360983
2023-06-13,0.006141224070387148,1.7273967277933175e-08,0.7666666666666667,1.0,0.006141224070387148,0.004641224070387149,0.9816495109898986
2023-06-14,0.0017862910139195207,-1.005924310561675e-08,0.15,0.0,0.0,0.0,0.9816495109898986
2023-06-15,0.004074582576730546,-2.6003950350453557e-09,0.38333333333333336,0.0,0.0,0.0,0.9816495109898986
2023-06-16,0.004392794042903307,2.4359071043086726e-08,0.8666666666666667,0.0,0.0,0.0,0.9816495109898986
2023-06-19,-0.0015140591204036472,-2.4670131262625484e-08,0.05,0.0,-0.0,-0.0,0.9816495109898986
2023-06-20,-0.003233161621888972,-1.2967353989421599e-08,0.11666666666666667,1.0,-0.003233161621888972,-0.004733161621888972,0.9770032051983352
2023-06-21,-0.0017204561021797742,-1.935580333504407e-08,0.06666666666666667,0.0,-0.0,-0.0,0.9770032051983352
2023-06-22,-0.00359359420466798,-2.5261103405493525e-09,0.4,1.0,-0.00359359420466798,-0.00509359420466798,0.972026747334395
2023-06-23,0.0032202331221660957,-1.3348340257844743e-08,0.13333333333333333,0.0,0.0,0.0,0.972026747334395
2023-06-26,-0.0014821650225387525,7.80990536360387e-09,0.65,0.0,-0.0,-0.0,0.972026747334395
2023-06-27,-0.0005848665773120729,-1.8300111940973405e-08,0.08333333333333333,0.0,-0.0,-0.0,0.972026747334395
2023-06-28,0.004208976710328832,-3.180649226502497e-08,0.03333333333333333,1.0,0.004208976710328832,0.002708976710328832,0.9746599451547405
