date,open,high,low,close,I31000150F,I31000160F,I31000170F,I31000300F,I31000330F,turnover,I310006300,I310006400,I310001200,I310020032,I310020132,I310020232,I310020332,I310020432,I310020532,I310020632,I310020732,I310020832,net_priv_fund,I310021032,I310021132,I310021232,net_foreign,I310024132,gap,priv_fund_ratio,factor_rank,position,strategy_ret,strategy_net,equity
2025-09-09,2996.67,3050.16,2961.31,3023.54,1.3,1.89,13.93,2976.37,2946.25,17754467054426,1043065967,1060612417,29.0027875431685,271100,191173,-37610,21621,-7755,2184,34931,64181,-1004286,672528,-3522,669006,940105,66556,-40992,0.004013817180343693,4.424402798306307e-08,0.9666666666666667,0.0,0.0,0.0,0.9040584251064436
2025-09-10,3034.38,3105.78,3011.91,3078.3,1.81,3.74,15.35,3003.18,2952.49,21097547511694,1094077219,1055343031,29.2464530377186,964241,956195,-80196,15179,-19626,-4190,61404,-30612,-2365869,1435597,-3358,1432240,2396481,35476,-40992,0.003585201452601965,8.650610146087988e-08,1.0,-1.0,-0.003585201452601965,-0.005085201452601966,0.8994611058898553
2025-09-11,3097.19,3139.21,3050.81,3102.24,0.78,4.57,14.66,3031.48,2958.23,22656543267637,1159453227,1063259429,29.2770520935543,850267,1108059,-38395,-81524,-4353,-5849,-130850,4707,-1089069,235661,-1565,234096,1084362,3179,-40992,0.00613650391449822,1.2823397860087263e-08,0.5333333333333333,-1.0,-0.00613650391449822,-0.0076365039144982196,0.8925923676337885
2025-09-12,3140.55,3190.4,3096.96,3157.04,1.77,6.89,16.33,3069.16,2966.8,21821549829933,1230634833,1069583356,29.4968250706656,713051,738711,-78385,-208236,-25038,-2085,241732,-36376,-2148052,1453638,17741,1471379,2184429,46352,-40992,0.01234914126566623,7.481923024282431e-08,0.9833333333333333,0.0,0.0,0.0,0.8925923676337885
2025-09-15,3177.64,3225.69,3121.65,3170.92,0.44,6.2,18.18,3106.41,2978.57,20477401867410,1296138344,1086615383,29.5374122368377,-177345,55410,-132240,-71540,-26774,-17384,-41718,-38900,-4508,219970,785,220754,43409,56901,-40992,0.00652509946025388,1.0595090904001436e-08,0.5166666666666667,-1.0,-0.00652509946025388,-0.00802509946025388,0.8854292251060638
2025-09-16,3182.19,3257.19,3148.03,3214.52,1.37,7.66,17.84,3144.6,2993.74,21544739168116,1343076981,1104716055,29.8279260559195,54969,259668,-37106,-96232,-1927,-16626,19426,-155384,-1427635,1532760,-4711,1528050,1583019,-72234,-40992,0.0035541735521552047,7.122637551488116e-08,0.9666666666666667,0.0,0.0,0.0,0.8854292251060638
2025-09-17,3203.98,3231.63,3144.07,3178.42,-1.12,6.46,16.35,3164.63,3008.16,18355089146370,1351740181,1115649247,29.7172963378202,-419549,-242249,-52580,-70739,-6000,-2523,37219,75717,531836,-190339,2335,-188003,-607552,-82678,-40992,-0.003278872117765627,-9.076267853979066e-09,0.23333333333333334,-1.0,0.003278872117765627,0.001778872117765627,0.8870042904668598
2025-09-18,3199.69,3263.38,3158.45,3229.86,1.62,10.02,17.22,3190.15,3024.92,20337786071940,1342387429,1129349160,29.8867432454088,592432,365676,2582,26584,488,-1883,87279,47982,-936569,299201,-3046,296155,888588,111707,-40992,0.006692004203346311,1.4589965874006479e-08,0.5833333333333334,0.0,0.0,0.0,0.8870042904668598
2025-09-19,3231.5,3276.86,3180.8,3222.03,-0.24,10.68,16.7,3203.15,3039.98,25097899257574,1316441568,1142063318,29.8791910863373,-243025,-99157,-30658,-29702,-2664,-11592,-19820,68118,218367,-39688,-3772,-43460,-286485,-49432,-40992,0.000507761946338192,-1.8753854294715265e-09,0.35,0.0,0.0,0.0,0.8870042904668598
2025-09-22,3244.34,3305.64,3199.11,3253.85,0.99,11.4,16.25,3219.74,3054.63,21457383493899,1295953841,1156107316,29.990468077813,263237,416836,-109020,-32019,-5573,-39964,-5812,-169576,-563584,475082,-5160,469924,733160,38791,-40992,0.006924206168161049,2.224314597376914e-08,0.7166666666666667,0.0,0.0,0.0,0.8870042904668598
2025-09-23,3275.19,3325.17,3220.88,3268.9,0.46,11.91,17.16,3230.61,3071.15,21814810732069,1270225066,1168788464,30.0831301585755,-224222,-50613,-31937,-64989,-14486,-19446,-23350,21450,4403,192065,6305,198370,-25852,-19399,-40992,0.0065583846827604675,8.9697213858725e-09,0.45,0.0,0.0,0.0,0.8870042904668598
2025-09-24,3270.38,3312.26,3198.55,3254.6,-0.44,11.42,13.25,3245.85,3086.7,21611989455329,1266528807,1185232073,30.1741357399018,22039,360614,-29402,-56757,-14921,-10284,-127858,17400,437369,-476521,-286,-476808,-454769,-99352,-40992,0.0004527516901710111,-2.159724282999749e-08,0.11666666666666667,0.0,0.0,0.0,0.8870042904668598
2025-09-25,3240.17,3299.74,3197.09,3249.58,-0.15,9.75,12.8,3249.79,3101.63,21344767057361,1228460816,1192097126,30.2250453397246,132021,235913,-51718,25658,-5156,-3169,-135277,20334,-410584,254985,3244,258228,390250,65772,-40992,-0.004433724574448423,1.1452089051681167e-08,0.5,0.0,-0.0,-0.0,0.8870042904668598
2025-09-26,3222.61,3248.29,3133.48,3168.8,-2.49,7.84,11.1,3239.15,3112.94,20215622348476,1199227000,1196912966,30.0918709466016,-488299,-254538,-21454,-20752,-13766,-2129,-91717,-49867,1200103,-661922,-17,-661938,-1150237,-83942,-40992,-0.008299534093636655,-3.109233194341247e-08,0.06666666666666667,0.0,-0.0,-0.0,0.8870042904668598
2025-09-29,3192.76,3253.7,3165.06,3215.66,1.48,9.28,13.56,3231.51,3128.82,15944763400129,1168579973,1195864873,30.1846917034442,435573,159115,-11984,162791,-3102,-10492,28452,-31971,-935606,533710,-1705,532004,967577,110791,-40992,0.0075612219136581785,2.6439100015982547e-08,0.7833333333333333,1.0,0.0075612219136581785,0.006061221913658179,0.8923806203097464
2025-09-30,3221.17,3263.5,3173.16,3205.89,-0.3,8.95,12.8,3218.91,3142.62,17652083057926,1171173725,1206885435,30.185853233505,-30905,-211100,10269,65907,-479,-15859,-6263,22847,182383,-171611,-2714,-174325,-205230,126622,-40992,0.0017134896102200539,-8.867023551851944e-09,0.23333333333333334,0.0,0.0,0.0,0.8923806203097464
2025-10-01,3224.66,3278.47,3191.16,3237.16,0.98,11.7,13.4,3215.42,3157.27,17506796101827,1125504013,1209462555,30.3457614648067,211068,156949,-5550,114900,-5629,-108497,-39767,1787,-1001993,775802,13336,789139,1000207,98662,-40992,0.0058548484196276175,4.186101033716121e-08,0.9,0.0,0.0,0.0,0.8923806203097464
2025-10-02,3308.24,3379.6,3264.79,3319.47,2.54,13.3,16.72,3229.4,3175.21,25938980429462,1133946068,1216061885,30.632903363128,-133532,-39744,-117767,-2486,-11464,3505,34406,-149,-2904647,3049717,-11389,3038328,2904797,18,-40992,0.021957518318526093,1.567844962351013e-07,1.0,0.0,0.0,0.0,0.8923806203097464
2025-10-03,3308.24,3379.6,3264.79,3319.47,2.54,13.3,16.72,3229.4,3175.21,25938980429462,1133946068,1216061885,30.632903363128,-133532,-39744,-117767,-2486,-11464,3505,34406,-149,-2904647,3049717,-11389,3038328,2904797,18,-40992,-0.003383070188915706,1.480709611598005e-07,0.9833333333333333,-1.0,0.003383070188915706,0.0018830701889157061,0.8940610356530178
2025-10-06,3308.24,3379.6,3264.79,3319.47,2.54,13.3,16.72,3229.4,3175.21,25938980429462,1133946068,1216061885,30.632903363128,-133532,-39744,-117767,-2486,-11464,3505,34406,-149,-2904647,3049717,-11389,3038328,2904797,18,-40992,-0.003383070188915706,1.3497211119612792e-07,0.9666666666666667,-1.0,0.003383070188915706,0.0018830701889157061,0.895744615336327
2025-10-07,3308.24,3379.6,3264.79,3319.47,2.54,13.3,16.72,3229.4,3175.21,25938980429462,1133946068,1216061885,30.632903363128,-133532,-39744,-117767,-2486,-11464,3505,34406,-149,-2904647,3049717,-11389,3038328,2904797,18,-40992,-0.003383070188915706,1.2574833612648835e-07,0.95,-1.0,0.003383070188915706,0.0018830701889157061,0.8974313653183486
2025-10-08,3308.24,3379.6,3264.79,3319.47,2.54,13.3,16.72,3229.4,3175.21,25938980429462,1133946068,1216061885,30.632903363128,-133532,-39744,-117767,-2486,-11464,3505,34406,-149,-2904647,3049717,-11389,3038328,2904797,18,-40992,-0.003383070188915706,1.1757273992681964e-07,0.9333333333333333,-1.0,0.003383070188915706,0.0018830701889157061,0.8991212915689774
